File Type,Original Name,New Name,Error
Items PDF,Kitchen_Guard_Franchising_Inc_Kitchen_Guard_Services_2024_Items1-23.pdf,"KITCHEN GUARD FRANCHISING, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,KITCHEN_REFRESH_FRANCHISING_LLC_KITCHEN_REFRESH_2024.pdf,"KITCHEN REFRESH FRANCHISING, LLC_2024.pdf",File not found
JSON,KITCHEN_REFRESH_FRANCHISING_LLC_KITCHEN_REFRESH_2024_FranchiseInfo.json,"KITCHEN REFRESH FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Items PDF,KITCHEN_REFRESH_FRANCHISING_LLC_KITCHEN_REFRESH_2024_Items1-23.pdf,"KITCHEN REFRESH FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kitchen_Wise_LLC_Kitchen_Wise_2024.pdf,"KITCHEN WISE, LLC_2024.pdf",File not found
JSON,Kitchen_Wise_LLC_Kitchen_Wise_2024_FranchiseInfo.json,"KITCHEN WISE, LLC_2024_FranchiseInfo.json",File not found
Items PDF,Kitchen_Wise_LLC_Kitchen_Wise_2024_Items1-23.pdf,"KITCHEN WISE, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,KLDiscovery_Franchising_LLC_KLDiscovery_2024.pdf,"KLDISCOVERY FRANCHISING, LLC_2024.pdf",File not found
JSON,KLDiscovery_Franchising_LLC_KLDiscovery_2024_FranchiseInfo.json,"KLDISCOVERY FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,KLDiscovery_Franchising_LLC_KLDiscovery_2024_Items1-23.pdf,"KLDISCOVERY FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,KLDiscovery_Franchising_LLC_KLDiscovery_2024_Items1-23.pdf,"KLDISCOVERY FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kline_Franchising_Inc_Burn_Boot_Camp_2024.pdf,"KLINE FRANCHISING, INC._2024.pdf",File not found
JSON,Kline_Franchising_Inc_Burn_Boot_Camp_2024_FranchiseInfo.json,"KLINE FRANCHISING, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,Kline_Franchising_Inc_Burn_Boot_Camp_2024_Items1-23.pdf,"KLINE FRANCHISING, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,Kline_Franchising_Inc_Burn_Boot_Camp_2024_Items1-23.pdf,"KLINE FRANCHISING, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,Koala_Insulation_Franchisor_LLC_Koala_Insulation_2024.pdf,"KOALA INSULATION FRANCHISOR, LLC_2024.pdf",File not found
JSON,Koala_Insulation_Franchisor_LLC_Koala_Insulation_2024_FranchiseInfo.json,"KOALA INSULATION FRANCHISOR, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,Koala_Insulation_Franchisor_LLC_Koala_Insulation_2024_Items1-23.pdf,"KOALA INSULATION FRANCHISOR, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,Koala_Insulation_Franchisor_LLC_Koala_Insulation_2024_Items1-23.pdf,"KOALA INSULATION FRANCHISOR, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,Koibito_Franchise_LLC_Koibito_Poke_2023.pdf,"KOIBITO FRANCHISE, LLC_2023.pdf",File not found
JSON,Koibito_Franchise_LLC_Koibito_Poke_2023_FranchiseInfo.json,"KOIBITO FRANCHISE, LLC_2023_FranchiseInfo.json",File not found
Subfolder PDF,Koibito_Franchise_LLC_Koibito_Poke_2023_Items1-23.pdf,"KOIBITO FRANCHISE, LLC_2023_Items1-23.pdf",File not found in subfolder
Items PDF,Koibito_Franchise_LLC_Koibito_Poke_2023_Items1-23.pdf,"KOIBITO FRANCHISE, LLC_2023_Items1-23.pdf",File not found in Items folder
Main PDF,Kona_Ice_Inc_Kona_Ice_2024.pdf,"KONA ICE, INC._2024.pdf",File not found
JSON,Kona_Ice_Inc_Kona_Ice_2024_FranchiseInfo.json,"KONA ICE, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,Kona_Ice_Inc_Kona_Ice_2024_Items1-23.pdf,"KONA ICE, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,Kona_Ice_Inc_Kona_Ice_2024_Items1-23.pdf,"KONA ICE, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kramerica_Enterprises_LLC_Jan-Pro_Franchise_Development_of_Greater_Madison_2024.pdf,KRAMERICA ENTERPRISES LLC_2024.pdf,File not found
JSON,Kramerica_Enterprises_LLC_Jan-Pro_Franchise_Development_of_Greater_Madison_2024_FranchiseInfo.json,KRAMERICA ENTERPRISES LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,Kramerica_Enterprises_LLC_Jan-Pro_Franchise_Development_of_Greater_Madison_2024_Items1-23.pdf,KRAMERICA ENTERPRISES LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,Kramerica_Enterprises_LLC_Jan-Pro_Franchise_Development_of_Greater_Madison_2024_Items1-23.pdf,KRAMERICA ENTERPRISES LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,KSS_Franchising_LLC_Kids_STEM_Studio_2024.pdf,KSS FRANCHISING LLC_2024.pdf,File not found
JSON,KSS_Franchising_LLC_Kids_STEM_Studio_2024_FranchiseInfo.json,KSS FRANCHISING LLC_2024_FranchiseInfo.json,File not found
Subfolder PDF,KSS_Franchising_LLC_Kids_STEM_Studio_2024_Items1-23.pdf,KSS FRANCHISING LLC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,KSS_Franchising_LLC_Kids_STEM_Studio_2024_Items1-23.pdf,KSS FRANCHISING LLC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,KS_La_Crosse_Investments_LLC_Kitchen_Solvers_2024.pdf,"KS LA CROSSE INVESTMENTS, LLC_2024.pdf",File not found
JSON,KS_La_Crosse_Investments_LLC_Kitchen_Solvers_2024_FranchiseInfo.json,"KS LA CROSSE INVESTMENTS, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,KS_La_Crosse_Investments_LLC_Kitchen_Solvers_2024_Items1-23.pdf,"KS LA CROSSE INVESTMENTS, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,KS_La_Crosse_Investments_LLC_Kitchen_Solvers_2024_Items1-23.pdf,"KS LA CROSSE INVESTMENTS, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,KUMON_NORTH_AMERICA_INC_Kumon_2024.pdf,"KUMON NORTH AMERICA, INC._2024.pdf",File not found
JSON,KUMON_NORTH_AMERICA_INC_Kumon_2024_FranchiseInfo.json,"KUMON NORTH AMERICA, INC._2024_FranchiseInfo.json",File not found
Subfolder PDF,KUMON_NORTH_AMERICA_INC_Kumon_2024_Items1-23.pdf,"KUMON NORTH AMERICA, INC._2024_Items1-23.pdf",File not found in subfolder
Items PDF,KUMON_NORTH_AMERICA_INC_Kumon_2024_Items1-23.pdf,"KUMON NORTH AMERICA, INC._2024_Items1-23.pdf",File not found in Items folder
Main PDF,Kwik_Kar_Franchising_LLC_NoTradeName_2024.pdf,"KWIK KAR FRANCHISING, LLC_2024.pdf",File not found
JSON,Kwik_Kar_Franchising_LLC_NoTradeName_2024_FranchiseInfo.json,"KWIK KAR FRANCHISING, LLC_2024_FranchiseInfo.json",File not found
Subfolder PDF,Kwik_Kar_Franchising_LLC_NoTradeName_2024_Items1-23.pdf,"KWIK KAR FRANCHISING, LLC_2024_Items1-23.pdf",File not found in subfolder
Items PDF,Kwik_Kar_Franchising_LLC_NoTradeName_2024_Items1-23.pdf,"KWIK KAR FRANCHISING, LLC_2024_Items1-23.pdf",File not found in Items folder
Main PDF,LABOR_FINDERS_INTERNATIONAL_INC_Labor_Finders_2024.pdf,LABOR FINDERS INTERNATIONAL INC_2024.pdf,File not found
JSON,LABOR_FINDERS_INTERNATIONAL_INC_Labor_Finders_2024_FranchiseInfo.json,LABOR FINDERS INTERNATIONAL INC_2024_FranchiseInfo.json,File not found
Subfolder PDF,LABOR_FINDERS_INTERNATIONAL_INC_Labor_Finders_2024_Items1-23.pdf,LABOR FINDERS INTERNATIONAL INC_2024_Items1-23.pdf,File not found in subfolder
Items PDF,LABOR_FINDERS_INTERNATIONAL_INC_Labor_Finders_2024_Items1-23.pdf,LABOR FINDERS INTERNATIONAL INC_2024_Items1-23.pdf,File not found in Items folder
Main PDF,Laduree_International_SA_Laduree_2024.pdf,LADUREE INTERNATIONAL SA_2024.pdf,File not found
JSON,Laduree_International_SA_Laduree_2024_FranchiseInfo.json,LADUREE INTERNATIONAL SA_2024_FranchiseInfo.json,File not found
Subfolder PDF,Laduree_International_SA_Laduree_2024_Items1-23.pdf,LADUREE INTERNATIONAL SA_2024_Items1-23.pdf,File not found in subfolder
Items PDF,Laduree_International_SA_Laduree_2024_Items1-23.pdf,LADUREE INTERNATIONAL SA_2024_Items1-23.pdf,File not found in Items folder
